,name,city,district,category,latitude,longitude,url,id,state,helpline
0,All India Institute for Medical Sciences (AIIMS),Delhi,SOUTH WEST DELHI,government,28.5672,77.21,https://goo.gl/maps/8ihUksf6d7mDDbN4A,1,Delhi,011 2658 8500
1,National Centre for Disease Control (NCDC),Delhi,New Delhi,government,28.679713,77.223564,https://goo.gl/maps/JMCegWci9kVrNMPa6,1,Delhi,011 2391 3148
2,Lady Hardinge Medical College,Delhi,New Delhi,government,28.634399,77.213045,https://goo.gl/maps/3ae46ohydhqgWmrd9,1,Delhi,011 2336 3728
3,Ram Manohar Lohia Hospital,Delhi,New Delhi,government,28.62594,77.202689,https://goo.gl/maps/Y6ze9bmmadWeWWMb8,1,Delhi,011 2340 4286
4,Institute of Liver & Biliary Sciences,Delhi,New Delhi,government,28.506866,77.166204,https://goo.gl/maps/UuzxWbD8T8GXrKva9,1,Delhi,011 4630 0000
5,Army Hospital Research & Referral,Delhi,New Delhi,government,28.58381,77.157809,https://goo.gl/maps/w8CpMe3itS1hQLvg6,1,Delhi,011 2333 8199
6,Lal Path Labs,Delhi,North West Delhi,private,28.739089,77.136464,https://goo.gl/maps/FrjUm3m9LYUadFft7,1,Delhi,011 3025 8600
7,Dr Dangs Lab,Delhi,South Delhi,private,28.550377,77.20345,https://g.page/DrDangsLab?share,1,Delhi,099999 92020
8,"Laboratory Services, Indraprastha Apollo Hospitals",Delhi,South East Delhi,private,28.540832,77.283447,https://g.page/apollo-hospital-delhi?share,1,Delhi,1860 500 1066
9,"Max Lab, Max Super Spciality Hospital",Delhi,South Delhi,private,28.527855,77.212138,https://g.page/Maxsaket?share,1,Delhi,011 2651 5050
10,"Sir Ganga Ram Hospital Clinical Lab Services, Sir Ganga Ram Hospital",Delhi,Central Delhi,private,28.639028,77.19007,https://goo.gl/maps/XRYxodk2WSoswbEr7,1,Delhi,011 2575 0000
11,Oncquest Labs Ltd,Delhi,New Delhi,private,28.568738,77.201837,https://goo.gl/maps/inkeMFqBXU8VucKt5,1,Delhi,011 3061 1432
12,Prognosis Laboratories,Delhi,Central Delhi,private,28.580238,77.050985,https://goo.gl/maps/oGJsQ1mGYYmL5jze6,1,Delhi,081301 92290
13,City X-Ray & Scan Clinic Pvt Ltd,Delhi,New Delhi,private,28.640535,77.103509,https://g.page/City_x_ray_and_scan_clinicpvtltd?share,1,Delhi,095777 27772
14,Maulana Azad Medical College,Delhi,New Delhi,other,28.63574,77.240049,https://goo.gl/maps/h1VtzrhxkFt3ATMt9,1,Delhi,011 2323 9279
15,Indira Gandhi Government Medical College,Nagpur,Nagpur,government,21.153728,79.093973,https://goo.gl/maps/d1AXLSTGmGgAoNW77,2,Maharashtra,0712 272 5423
16,Kasturba Hospital for Infectious Diseases,Mumbai,Mumbai,government,18.984118,72.829849,https://goo.gl/maps/thCucwsUczhGhAz38,2,Maharashtra,2223083901
