Name,Rural Hospitals,Rural Beds,Urban Hospitals,Urban Beds,Total Hospitals,Total Beds,Confirmed Cases,Recovered Cases,deaths,date,asOn,helpline
India,39620,559176,7544,862346,47164,1421522,395048,213831,12948,June 20,0,1075
Andhra Pradesh,193,6480,65,16658,258,23138,7961,3917,96,June 20,2017-01-01T00:00:00.000Z,+91-866-2410978
Arunachal Pradesh,208,2136,10,268,218,2404,103,11,0,June 20,2017-12-31T00:00:00.000Z,+91-9436055743
Assam,1176,10944,50,6198,1226,17142,4904,3039,9,June 20,2017-12-31T00:00:00.000Z,+91-6913347770
Bihar,930,6083,103,5936,1033,12019,7181,5098,50,June 20,2016-12-31T00:00:00.000Z,104
Chhattisgarh,169,5070,45,4342,214,9412,2028,1331,10,June 20,2016-01-01T00:00:00.000Z,104
Goa,17,1405,25,1608,42,3013,725,118,0,June 20,2017-12-31T00:00:00.000Z,104
Gujarat,364,11715,122,20565,486,32280,26141,18159,1618,June 20,2016-12-31T00:00:00.000Z,104
Haryana,609,6690,59,4550,668,11240,9743,4889,144,June 20,2016-12-31T00:00:00.000Z,+91-8558893911
Himachal Pradesh,705,5665,96,6734,801,12399,619,388,8,June 20,2017-12-31T00:00:00.000Z,104
Jammu and Kashmir,56,7234,76,4417,132,11651,0,0,0,0,2016-12-30T00:00:00.000Z,0
Jharkhand,519,5842,36,4942,555,10784,1965,1332,11,June 20,2015-12-31T00:00:00.000Z,104
Karnataka,2471,21072,374,49093,2845,70165,8281,5210,124,June 20,2017-12-31T00:00:00.000Z,104
Kerala,981,16865,299,21139,1280,38004,2912,1511,21,June 20,2017-01-01T00:00:00.000Z,+91-471-2552056
Madhya Pradesh,334,10020,117,18819,451,28839,11582,8748,495,June 20,2016-01-01T00:00:00.000Z,+91-755-2527177
Maharashtra,273,12398,438,39048,711,51446,124331,62773,5893,June 20,2015-12-31T00:00:00.000Z,+91-20-26127394
Manipur,23,730,7,697,30,1427,681,218,0,June 20,2014-01-01T00:00:00.000Z,+91-3852411668
Meghalaya,143,1970,14,2487,157,4457,44,33,1,June 20,2017-12-31T00:00:00.000Z,108
Mizoram,56,604,34,1393,90,1997,130,1,0,June 20,2017-12-31T00:00:00.000Z,102
Nagaland,21,630,15,1250,36,1880,198,125,0,June 20,2015-12-31T00:00:00.000Z,+91-7005539653
Odisha,1655,6339,149,12180,1804,18519,4677,3297,11,June 20,2017-12-31T00:00:00.000Z,+91-9439994859
Punjab,510,5805,172,12128,682,17933,3832,2636,92,June 20,2017-12-31T00:00:00.000Z,104
Rajasthan,602,21088,150,10760,752,31848,14156,10997,333,June 20,2016-12-31T00:00:00.000Z,+91-141-2225624
Sikkim,24,260,9,1300,33,1560,70,5,0,June 20,2017-12-31T00:00:00.000Z,104
Tamil Nadu,692,40179,525,37353,1217,77532,54449,30271,666,June 20,2017-12-31T00:00:00.000Z,+91-44-29510500
Telangana,802,7668,61,13315,863,20983,6526,3353,198,June 20,2017-12-31T00:00:00.000Z,0
Tripura,99,1140,56,3277,155,4417,1178,657,1,June 20,2017-12-31T00:00:00.000Z,+91-381-2315879
Uttar Pradesh,4442,39104,193,37156,4635,76260,15785,9638,488,June 20,2017-12-31T00:00:00.000Z,18001805145
Uttarakhand,410,3284,50,5228,460,8512,2177,1433,26,June 20,2015-12-31T00:00:00.000Z,104
West Bengal,1272,19684,294,58882,1566,78566,13090,7303,529,June 20,2015-01-01T00:00:00.000Z,"1800313444222,+91-3323412600,"
Andaman and Nicobar Islands,27,575,3,500,30,1075,0,0,0,0,2016-12-31T00:00:00.000Z,0
Chandigarh,0,0,4,778,4,778,381,315,6,June 20,2016-12-31T00:00:00.000Z,+91-9779558282
Dadra and Nagar Haveli,10,273,1,316,11,589,0,0,0,0,2017-12-31T00:00:00.000Z,0
Daman and Diu,5,240,0,0,5,240,0,0,0,0,2015-12-31T00:00:00.000Z,104
Delhi,0,0,109,24383,109,24383,53116,23569,2035,June 20,2015-01-01T00:00:00.000Z,+91-11-22307145
Lakshadweep,9,300,0,0,9,300,0,0,0,0,2016-01-01T00:00:00.000Z,104
Puducherry,3,96,11,3473,14,3569,286,118,7,June 20,2016-01-01T00:00:00.000Z,104
INDIA,19810,279588,3772,431173,23582,710761,0,0,0,0,2016-01-01T00:00:00.000Z,0
